epochs,neuronsPerClass,LR,testClass,result,guessIndex
1,10,0.1,Drink_glass,0.6,0
1,10,0.1,Eat_meat,0.44364508393285373,0
1,10,0.1,Brush_teeth,0.24960917144346015,1
1,10,0.1,Pour_water,0.3,0
1,10,0.1,Climb_stairs,0.12299465240641712,3
,,,,,
2,1,0.001,Standup_chair,0.2079207920792079,2
2,1,0.001,Walk,-1,-1
2,1,0.001,Sitdown_chair,0.045454545454545456,4
2,1,0.001,Use_telephone,0.5331412103746398,0
2,1,0.001,Comb_hair,0.008620689655172414,9
2,1,0.001,Getup_bed,0.03669724770642202,6
2,1,0.001,Eat_soup,0.40318302387267907,1
2,1,0.001,Descend_stairs,0.4369369369369369,0
2,1,0.001,Liedown_bed,0.012411347517730497,7
2,1,0.001,Drink_glass,0.12631578947368421,2
2,1,0.001,Eat_meat,0.3301358912869704,1
2,1,0.001,Brush_teeth,0.10317873892652424,2
2,1,0.001,Pour_water,0.045454545454545456,6
2,1,0.001,Climb_stairs,0.016042780748663103,5
,,,,,
2,1,0.01,Standup_chair,0.0297029702970297,4
2,1,0.01,Walk,0.021447721179624665,5
2,1,0.01,Sitdown_chair,0.045454545454545456,3
2,1,0.01,Use_telephone,0.38904899135446686,0
2,1,0.01,Comb_hair,0.05387931034482758,6
2,1,0.01,Getup_bed,-1,-1
2,1,0.01,Eat_soup,0.3713527851458886,0
2,1,0.01,Descend_stairs,0.44144144144144143,0
2,1,0.01,Liedown_bed,0.024822695035460994,5
2,1,0.01,Drink_glass,0.15789473684210525,2
2,1,0.01,Eat_meat,0.4364508393285372,0
2,1,0.01,Brush_teeth,0.21417404898384576,1
2,1,0.01,Pour_water,0.2,2
2,1,0.01,Climb_stairs,0.026737967914438502,5
,,,,,
2,1,0.1,Standup_chair,-1,-1
2,1,0.1,Walk,0.024128686327077747,4
2,1,0.1,Sitdown_chair,0.06060606060606061,3
2,1,0.1,Use_telephone,0.1930835734870317,1
2,1,0.1,Comb_hair,0.1400862068965517,2
2,1,0.1,Getup_bed,-1,-1
2,1,0.1,Eat_soup,0.5039787798408488,0
2,1,0.1,Descend_stairs,0.4189189189189189,0
2,1,0.1,Liedown_bed,0.11702127659574468,2
