epochs,neuronsPerClass,LR,testClass,result,guessIndex
,,,,,
2,2,0.1,Standup_chair,-1,-1
2,2,0.1,Walk,-1,-1
2,2,0.1,Sitdown_chair,-1,-1
2,2,0.1,Use_telephone,-1,-1
2,2,0.1,Comb_hair,-1,-1
2,2,0.1,Getup_bed,-1,-1
2,2,0.1,Eat_soup,1.0,0
2,2,0.1,Descend_stairs,-1,-1
2,2,0.1,Liedown_bed,-1,-1
2,2,0.1,Drink_glass,-1,-1
2,2,0.1,Eat_meat,-1,-1
2,2,0.1,Brush_teeth,-1,-1
2,2,0.1,Pour_water,-1,-1
2,2,0.1,Climb_stairs,-1,-1
,,,,,
2,5,0.001,Standup_chair,0.0891089108910891,2
2,5,0.001,Walk,0.450402144772118,0
2,5,0.001,Sitdown_chair,-1,-1
2,5,0.001,Use_telephone,0.4207492795389049,0
2,5,0.001,Comb_hair,0.15086206896551724,1
2,5,0.001,Getup_bed,0.03669724770642202,7
2,5,0.001,Eat_soup,0.29442970822281167,1
2,5,0.001,Descend_stairs,0.3063063063063063,1
2,5,0.001,Liedown_bed,0.02127659574468085,9
2,5,0.001,Drink_glass,0.7052631578947368,0
2,5,0.001,Eat_meat,0.37569944044764186,0
2,5,0.001,Brush_teeth,0.25482021886399164,1
2,5,0.001,Pour_water,0.05454545454545454,6
2,5,0.001,Climb_stairs,0.0213903743315508,5
,,,,,
2,5,0.01,Standup_chair,-1,-1
2,5,0.01,Walk,0.13404825737265416,1
2,5,0.01,Sitdown_chair,-1,-1
2,5,0.01,Use_telephone,0.515850144092219,0
2,5,0.01,Comb_hair,0.521551724137931,0
2,5,0.01,Getup_bed,0.14678899082568808,2
2,5,0.01,Eat_soup,0.14058355437665782,2
2,5,0.01,Descend_stairs,0.13063063063063063,2
2,5,0.01,Liedown_bed,0.09042553191489362,3
2,5,0.01,Drink_glass,-1,-1
2,5,0.01,Eat_meat,0.23661071143085532,0
2,5,0.01,Brush_teeth,0.4033350703491402,0
2,5,0.01,Pour_water,0.2545454545454545,0
2,5,0.01,Climb_stairs,0.5026737967914439,0
,,,,,
2,5,0.1,Standup_chair,-1,-1
2,5,0.1,Walk,-1,-1
2,5,0.1,Sitdown_chair,-1,-1
2,5,0.1,Use_telephone,-1,-1
2,5,0.1,Comb_hair,0.25862068965517243,1
2,5,0.1,Getup_bed,-1,-1
2,5,0.1,Eat_soup,-1,-1
2,5,0.1,Descend_stairs,-1,-1
2,5,0.1,Liedown_bed,-1,-1
2,5,0.1,Drink_glass,-1,-1
2,5,0.1,Eat_meat,-1,-1
2,5,0.1,Brush_teeth,0.9947889525794684,0
2,5,0.1,Pour_water,-1,-1
2,5,0.1,Climb_stairs,-1,-1
,,,,,
2,10,0.001,Standup_chair,0.07920792079207921,3
2,10,0.001,Walk,0.546916890080429,0
2,10,0.001,Sitdown_chair,-1,-1
2,10,0.001,Use_telephone,0.34293948126801155,0
2,10,0.001,Comb_hair,0.11853448275862069,1
2,10,0.001,Getup_bed,0.03669724770642202,7
2,10,0.001,Eat_soup,0.15649867374005305,2
2,10,0.001,Descend_stairs,0.32882882882882886,1
2,10,0.001,Liedown_bed,0.15780141843971632,1
2,10,0.001,Drink_glass,0.43157894736842106,0
2,10,0.001,Eat_meat,0.4044764188649081,0
2,10,0.001,Brush_teeth,0.2652423137050547,0
2,10,0.001,Pour_water,0.20909090909090908,0
2,10,0.001,Climb_stairs,0.0427807486631016,4
,,,,,
2,10,0.01,Standup_chair,0.0594059405940594,3
2,10,0.01,Walk,0.3136729222520107,1
2,10,0.01,Sitdown_chair,-1,-1
2,10,0.01,Use_telephone,0.36023054755043227,0
2,10,0.01,Comb_hair,0.25646551724137934,0
2,10,0.01,Getup_bed,0.11009174311926606,2
2,10,0.01,Eat_soup,0.07957559681697612,4
2,10,0.01,Descend_stairs,0.26126126126126126,0
2,10,0.01,Liedown_bed,0.11524822695035461,4
2,10,0.01,Drink_glass,0.22105263157894736,2
2,10,0.01,Eat_meat,0.3349320543565148,0
2,10,0.01,Brush_teeth,0.39708181344450233,0
2,10,0.01,Pour_water,0.09090909090909091,3
2,10,0.01,Climb_stairs,0.08021390374331551,3
,,,,,
2,10,0.1,Standup_chair,-1,-1
2,10,0.1,Walk,-1,-1
2,10,0.1,Sitdown_chair,-1,-1
2,10,0.1,Use_telephone,-1,-1
2,10,0.1,Comb_hair,0.5474137931034483,0
2,10,0.1,Getup_bed,0.3761467889908257,0
